"reservation_id","room_id"
20441,1
36660,1
1474,2
17251,2
39614,2
1186,3
4640,3
12768,3
13094,3
27012,3
17009,5
19251,5
29065,6
38691,6
42736,6
20940,7
30305,7
30355,7
42998,7
1858,8
24863,8
1494,10
9858,10
24925,10
34717,10
5703,11
26865,11
28989,11
29839,11
46719,11
47212,11
11831,12
24342,12
37239,12
43481,12
20944,13
48184,13
24276,14
39212,14
3195,15
20053,15
24463,15
41534,15
5061,16
36788,16
39160,16
9079,18
37935,18
45620,18
46642,18
16716,19
34546,20
40418,20
45489,20
46131,20
2968,21
25453,21
38435,21
45223,22
39852,23
7128,24
42420,24
46365,24
7242,25
24303,25
38266,25
2945,26
9799,26
21690,26
22489,26
22826,26
23839,26
26763,26
13713,27
8912,28
39004,28
13089,29
3455,30
12773,30
12947,30
16475,30
31752,30
30793,31
40048,31
85,32
15508,32
33614,32
38020,32
39099,32
39528,33
42804,33
45384,33
45896,33
2575,34
31471,34
35616,34
39568,34
7217,35
30437,35
37446,36
3603,37
15130,37
17883,37
42072,38
16139,39
28591,39
5582,40
14064,40
23704,40
49611,40
45599,41
41666,42
44287,42
16868,43
22251,43
28526,43
46912,43
7877,44
41449,44
48751,44
49944,44
46478,45
39578,46
43652,46
31696,47
11095,48
18217,48
18689,48
8255,50
27551,50
7767,51
35121,51
2241,52
31919,52
32515,52
32741,52
35747,52
20822,53
27025,53
42666,53
46616,53
17274,54
36883,54
38295,54
40420,54
27167,55
33800,55
39181,55
28840,57
35296,57
6575,58
42021,58
34835,59
44418,59
48714,60
11216,61
20984,61
22144,61
37741,61
40901,62
42118,62
8620,63
14915,63
23865,63
16258,64
13901,65
15315,65
17757,65
26316,65
10917,66
47206,66
47790,66
17337,68
25941,69
19180,70
35996,70
36261,70
44658,70
23639,71
41640,71
47730,71
3980,72
21576,72
34962,72
49420,72
20470,74
25650,74
37233,74
18149,75
34800,75
39012,75
1229,76
9362,76
21209,76
41576,76
22943,78
28554,78
7119,79
46761,79
22677,80
15366,81
47401,81
29524,82
37349,83
42554,83
38624,84
45086,84
26501,85
28744,86
2457,87
19584,87
10637,88
8640,90
19658,90
31795,90
1520,91
4830,91
11192,91
14690,91
43170,91
49298,92
28970,93
47308,94
49202,94
14478,95
15479,95
24355,95
38234,96
39396,96
33355,97
21081,98
28822,98
34868,98
41569,98
31965,99
44933,99
44998,99
7198,100
3497,101
25246,101
34727,101
42273,101
34310,102
43921,102
7234,103
9853,103
26804,103
29363,103
1939,104
9912,104
12409,104
30214,104
32525,105
33870,105
14228,106
15230,106
18771,106
31272,106
9019,107
38288,107
43296,107
13814,108
25580,108
33674,108
9595,109
25280,109
25763,109
38652,109
47655,109
19130,110
26616,110
45870,110
1275,111
7713,111
31683,111
44876,111
14870,112
17558,112
18483,112
23732,112
36634,112
400,113
30042,113
24455,114
26924,114
16205,115
16848,115
48145,115
30939,117
32460,117
45132,117
